state,county,subdivision,place,city,level,name
01,000,00000,00000,00000,040,Alabama
01,001,00000,00000,00000,050,Autauga County
01,003,00000,00000,00000,050,Baldwin County
01,005,00000,00000,00000,050,Barbour County
01,007,00000,00000,00000,050,Bibb County
01,009,00000,00000,00000,050,Blount County
01,011,00000,00000,00000,050,Bullock County
01,013,00000,00000,00000,050,Butler County
01,015,00000,00000,00000,050,Calhoun County
01,017,00000,00000,00000,050,Chambers County
01,019,00000,00000,00000,050,Cherokee County
01,021,00000,00000,00000,050,Chilton County
01,023,00000,00000,00000,050,Choctaw County
01,025,00000,00000,00000,050,Clarke County
01,027,00000,00000,00000,050,Clay County
01,029,00000,00000,00000,050,Cleburne County
01,031,00000,00000,00000,050,Coffee County
01,033,00000,00000,00000,050,Colbert County
01,035,00000,00000,00000,050,Conecuh County
01,037,00000,00000,00000,050,Coosa County
01,039,00000,00000,00000,050,Covington County
01,041,00000,00000,00000,050,Crenshaw County
01,043,00000,00000,00000,050,Cullman County
01,045,00000,00000,00000,050,Dale County
01,047,00000,00000,00000,050,Dallas County
01,049,00000,00000,00000,050,DeKalb County
01,051,00000,00000,00000,050,Elmore County
01,053,00000,00000,00000,050,Escambia County
01,055,00000,00000,00000,050,Etowah County
01,057,00000,00000,00000,050,Fayette County
01,059,00000,00000,00000,050,Franklin County
01,061,00000,00000,00000,050,Geneva County
01,063,00000,00000,00000,050,Greene County
01,065,00000,00000,00000,050,Hale County
01,067,00000,00000,00000,050,Henry County
01,069,00000,00000,00000,050,Houston County
01,071,00000,00000,00000,050,Jackson County
01,073,00000,00000,00000,050,Jefferson County
01,075,00000,00000,00000,050,Lamar County
01,077,00000,00000,00000,050,Lauderdale County
01,079,00000,00000,00000,050,Lawrence County
01,081,00000,00000,00000,050,Lee County
01,083,00000,00000,00000,050,Limestone County
01,085,00000,00000,00000,050,Lowndes County
01,087,00000,00000,00000,050,Macon County
01,089,00000,00000,00000,050,Madison County
01,091,00000,00000,00000,050,Marengo County
01,093,00000,00000,00000,050,Marion County
01,095,00000,00000,00000,050,Marshall County
01,097,00000,00000,00000,050,Mobile County
01,099,00000,00000,00000,050,Monroe County
01,101,00000,00000,00000,050,Montgomery County
01,103,00000,00000,00000,050,Morgan County
01,105,00000,00000,00000,050,Perry County
01,107,00000,00000,00000,050,Pickens County
01,109,00000,00000,00000,050,Pike County
01,111,00000,00000,00000,050,Randolph County
01,113,00000,00000,00000,050,Russell County
01,115,00000,00000,00000,050,St. Clair County
01,117,00000,00000,00000,050,Shelby County
01,119,00000,00000,00000,050,Sumter County
01,121,00000,00000,00000,050,Talladega County
01,123,00000,00000,00000,050,Tallapoosa County
01,125,00000,00000,00000,050,Tuscaloosa County
01,127,00000,00000,00000,050,Walker County
01,129,00000,00000,00000,050,Washington County
01,131,00000,00000,00000,050,Wilcox County
01,133,00000,00000,00000,050,Winston County
01,000,00000,00124,00000,162,Abbeville city
01,000,00000,00460,00000,162,Adamsville city
01,000,00000,00484,00000,162,Addison town
01,000,00000,00676,00000,162,Akron town
01,000,00000,00820,00000,162,Alabaster city
01,000,00000,00988,00000,162,Albertville city
01,000,00000,01132,00000,162,Alexander City city
01,000,00000,01228,00000,162,Aliceville city
01,000,00000,01396,00000,162,Allgood town
01,000,00000,01660,00000,162,Altoona town
01,000,00000,01708,00000,162,Andalusia city
01,000,00000,01756,00000,162,Anderson town
01,000,00000,01852,00000,162,Anniston city
01,000,00000,02116,00000,162,Arab city
01,000,00000,02260,00000,162,Ardmore town
01,000,00000,02320,00000,162,Argo town
01,000,00000,02428,00000,162,Ariton town
01,000,00000,02500,00000,162,Arley town
01,000,00000,02836,00000,162,Ashford town
01,000,00000,02860,00000,162,Ashland town
01,000,00000,02908,00000,162,Ashville city
01,000,00000,02956,00000,162,Athens city
01,000,00000,03004,00000,162,Atmore city
01,000,00000,03028,00000,162,Attalla city
01,000,00000,03076,00000,162,Auburn city
01,000,00000,03220,00000,162,Autaugaville town
01,000,00000,03364,00000,162,Avon town
01,000,00000,03556,00000,162,Babbie town
01,000,00000,03676,00000,162,Baileyton town
01,000,00000,03724,00000,162,Bakerhill town
01,000,00000,03940,00000,162,Banks town
01,000,00000,04660,00000,162,Bay Minette city
01,000,00000,04684,00000,162,Bayou La Batre city
01,000,00000,04852,00000,162,Bear Creek town
01,000,00000,04900,00000,162,Beatrice town
01,000,00000,04948,00000,162,Beaverton town
01,000,00000,05164,00000,162,Belk town
01,000,00000,05692,00000,162,Benton town
01,000,00000,05932,00000,162,Berry town
01,000,00000,05980,00000,162,Bessemer city
01,000,00000,06460,00000,162,Billingsley town
01,000,00000,07000,00000,162,Birmingham city
01,000,00000,07120,00000,162,Black town
01,000,00000,07456,00000,162,Blountsville town
01,000,00000,07672,00000,162,Blue Springs town
01,000,00000,07912,00000,162,Boaz city
01,000,00000,08104,00000,162,Boligee town
01,000,00000,08248,00000,162,Bon Air town
01,000,00000,09016,00000,162,Brantley town
01,000,00000,09136,00000,162,Brent city
01,000,00000,09208,00000,162,Brewton city
01,000,00000,09328,00000,162,Bridgeport city
01,000,00000,09400,00000,162,Brighton city
01,000,00000,09424,00000,162,Brilliant town
01,000,00000,09736,00000,162,Brookside town
01,000,00000,09808,00000,162,Brookwood town
01,000,00000,10240,00000,162,Brundidge city
01,000,00000,11032,00000,162,Butler town
01,000,00000,11416,00000,162,Calera city
01,000,00000,11512,00000,162,Camden city
01,000,00000,11680,00000,162,Camp Hill town
01,000,00000,12016,00000,162,Carbon Hill city
01,000,00000,12040,00000,162,Cardiff town
01,000,00000,12160,00000,162,Carolina town
01,000,00000,12304,00000,162,Carrollton town
01,000,00000,12496,00000,162,Castleberry town
01,000,00000,12760,00000,162,Cedar Bluff town
01,000,00000,13264,00000,162,Center Point city
01,000,00000,13648,00000,162,Centre city
01,000,00000,13672,00000,162,Centreville city
01,000,00000,14008,00000,162,Chatom town
01,000,00000,14104,00000,162,Chelsea city
01,000,00000,14152,00000,162,Cherokee town
01,000,00000,14392,00000,162,Chickasaw city
01,000,00000,14464,00000,162,Childersburg city
01,000,00000,15064,00000,162,Citronelle city
01,000,00000,15136,00000,162,Clanton city
01,000,00000,15256,00000,162,Clay city
01,000,00000,15304,00000,162,Clayhatchee town
01,000,00000,15376,00000,162,Clayton town
01,000,00000,15472,00000,162,Cleveland town
01,000,00000,15640,00000,162,Clio city
01,000,00000,16000,00000,162,Coaling town
01,000,00000,16240,00000,162,Coffee Springs town
01,000,00000,16264,00000,162,Coffeeville town
01,000,00000,16312,00000,162,Coker town
01,000,00000,16600,00000,162,Collinsville town
01,000,00000,16684,00000,162,Colony town
01,000,00000,16744,00000,162,Columbia town
01,000,00000,16768,00000,162,Columbiana city
01,000,00000,17176,00000,162,Coosada town
01,000,00000,17368,00000,162,Cordova city
01,000,00000,17824,00000,162,Cottonwood town
01,000,00000,17968,00000,162,County Line town
01,000,00000,18040,00000,162,Courtland town
01,000,00000,18088,00000,162,Cowarts town
01,000,00000,18304,00000,162,Creola city
01,000,00000,18856,00000,162,Crossville town
01,000,00000,18952,00000,162,Cuba town
01,000,00000,18976,00000,162,Cullman city
01,000,00000,19216,00000,162,Cusseta town
01,000,00000,19336,00000,162,Dadeville city
01,000,00000,19360,00000,162,Daleville city
01,000,00000,19648,00000,162,Daphne city
01,000,00000,19744,00000,162,Dauphin Island town
01,000,00000,19816,00000,162,Daviston town
01,000,00000,19912,00000,162,Dayton town
01,000,00000,20008,00000,162,Deatsville town
01,000,00000,20104,00000,162,Decatur city
01,000,00000,20296,00000,162,Demopolis city
01,000,00000,20392,00000,162,Detroit town
01,000,00000,20955,00000,162,Dodge City town
01,000,00000,21136,00000,162,Dora city
01,000,00000,21184,00000,162,Dothan city
01,000,00000,21280,00000,162,Double Springs town
01,000,00000,21328,00000,162,Douglas town
01,000,00000,21448,00000,162,Dozier town
01,000,00000,21952,00000,162,Dutton town
01,000,00000,22216,00000,162,East Brewton city
01,000,00000,22816,00000,162,Eclectic town
01,000,00000,23176,00000,162,Edwardsville town
01,000,00000,23296,00000,162,Elba city
01,000,00000,23320,00000,162,Elberta town
01,000,00000,23344,00000,162,Eldridge town
01,000,00000,23488,00000,162,Elkmont town
01,000,00000,23656,00000,162,Elmore town
01,000,00000,23872,00000,162,Emelle town
01,000,00000,24184,00000,162,Enterprise city
01,000,00000,24256,00000,162,Epes town
01,000,00000,24472,00000,162,Ethelsville town
01,000,00000,24568,00000,162,Eufaula city
01,000,00000,24664,00000,162,Eutaw town
01,000,00000,24688,00000,162,Eva town
01,000,00000,24808,00000,162,Evergreen city
01,000,00000,24880,00000,162,Excel town
01,000,00000,25120,00000,162,Fairfield city
01,000,00000,25240,00000,162,Fairhope city
01,000,00000,25384,00000,162,Fairview town
01,000,00000,25648,00000,162,Falkville town
01,000,00000,25816,00000,162,Faunsdale town
01,000,00000,25840,00000,162,Fayette city
01,000,00000,26200,00000,162,Five Points town
01,000,00000,26824,00000,162,Flomaton town
01,000,00000,26848,00000,162,Florala town
01,000,00000,26896,00000,162,Florence city
01,000,00000,26992,00000,162,Foley city
01,000,00000,27376,00000,162,Forkland town
01,000,00000,27520,00000,162,Fort Deposit town
01,000,00000,27616,00000,162,Fort Payne city
01,000,00000,28024,00000,162,Franklin town
01,000,00000,28312,00000,162,Frisco City town
01,000,00000,28432,00000,162,Fruithurst town
01,000,00000,28504,00000,162,Fulton town
01,000,00000,28552,00000,162,Fultondale city
01,000,00000,28672,00000,162,Fyffe town
01,000,00000,28696,00000,162,Gadsden city
01,000,00000,28768,00000,162,Gainesville town
01,000,00000,28936,00000,162,Gantt town
01,000,00000,29032,00000,162,Garden City town
01,000,00000,29056,00000,162,Gardendale city
01,000,00000,29296,00000,162,Gaylesville town
01,000,00000,29392,00000,162,Geiger town
01,000,00000,29464,00000,162,Geneva city
01,000,00000,29560,00000,162,Georgiana town
01,000,00000,29608,00000,162,Geraldine town
01,000,00000,29704,00000,162,Gilbertown town
01,000,00000,29944,00000,162,Glen Allen town
01,000,00000,29992,00000,162,Glencoe city
01,000,00000,30160,00000,162,Glenwood town
01,000,00000,30448,00000,162,Goldville town
01,000,00000,30496,00000,162,Good Hope town
01,000,00000,30640,00000,162,Goodwater town
01,000,00000,30736,00000,162,Gordo town
01,000,00000,30760,00000,162,Gordon town
01,000,00000,30808,00000,162,Gordonville town
01,000,00000,30880,00000,162,Goshen town
01,000,00000,31096,00000,162,Grant town
01,000,00000,31384,00000,162,Graysville city
01,000,00000,31720,00000,162,Greensboro city
01,000,00000,31912,00000,162,Greenville city
01,000,00000,32056,00000,162,Grimes town
01,000,00000,32080,00000,162,Grove Hill town
01,000,00000,32224,00000,162,Guin city
01,000,00000,32272,00000,162,Gulf Shores city
01,000,00000,32416,00000,162,Guntersville city
01,000,00000,32440,00000,162,Gurley town
01,000,00000,32536,00000,162,Gu-Win town
01,000,00000,32560,00000,162,Hackleburg town
01,000,00000,32656,00000,162,Haleburg town
01,000,00000,32704,00000,162,Haleyville city
01,000,00000,32848,00000,162,Hamilton city
01,000,00000,32896,00000,162,Hammondville town
01,000,00000,32968,00000,162,Hanceville city
01,000,00000,33256,00000,162,Harpersville town
01,000,00000,33424,00000,162,Hartford city
01,000,00000,33448,00000,162,Hartselle city
01,000,00000,33640,00000,162,Hayden town
01,000,00000,33712,00000,162,Hayneville town
01,000,00000,33856,00000,162,Headland city
01,000,00000,33904,00000,162,Heath town
01,000,00000,33976,00000,162,Heflin city
01,000,00000,34024,00000,162,Helena city
01,000,00000,34096,00000,162,Henagar city
01,000,00000,34480,00000,162,Highland Lake town
01,000,00000,34816,00000,162,Hillsboro town
01,000,00000,35152,00000,162,Hobson City town
01,000,00000,35200,00000,162,Hodges town
01,000,00000,35392,00000,162,Hokes Bluff city
01,000,00000,35560,00000,162,Holly Pond town
01,000,00000,35632,00000,162,Hollywood town
01,000,00000,35800,00000,162,Homewood city
01,000,00000,35896,00000,162,Hoover city
01,000,00000,36088,00000,162,Horn Hill town
01,000,00000,36448,00000,162,Hueytown city
01,000,00000,37000,00000,162,Huntsville city
