"state","county","pop","NA","NA","NA","NA"
1,1,1,1,56309,56309,0
1,3,1,3,180725,180725,0
1,5,1,5,27453,27453,0
1,7,1,7,21945,21945,0
1,9,1,9,58236,58236,0
1,11,1,11,9683,9683,0
1,13,1,13,23080,23080,0
1,15,1,15,128353,128353,0
1,17,1,17,39392,39392,0
1,19,1,19,25699,25699,0
1,21,1,21,44913,44913,0
1,23,1,23,15227,15227,0
1,25,1,25,30256,30256,0
1,27,1,27,16467,16467,0
1,29,1,29,14929,14929,0
1,31,1,31,48318,48318,0
1,33,1,33,61355,61355,0
1,35,1,35,14566,14566,0
1,37,1,37,11683,11683,0
1,39,1,39,39082,39082,0
1,41,1,41,15079,15079,0
1,43,1,43,87010,87010,0
1,45,1,45,49463,49463,0
1,47,1,47,48154,48154,0
1,49,1,49,72791,72791,0
1,51,1,51,82138,82138,0
1,53,1,53,38356,38356,0
1,55,1,55,112077,112077,0
1,57,1,57,18529,18529,0
1,59,1,59,33329,33329,0
1,61,1,61,26505,26505,0
1,63,1,63,9911,9911,0
1,65,1,65,19047,19047,0
1,67,1,67,18461,18461,0
1,69,1,69,106940,106940,0
1,71,1,71,58205,58205,0
1,73,1,73,724515,724515,0
1,75,1,75,16319,16319,0
1,77,1,77,97278,97278,0
1,79,1,79,38098,38098,0
1,81,1,81,124085,124085,0
1,83,1,83,80983,80983,0
1,85,1,85,14681,14681,0
1,87,1,87,22414,22414,0
1,89,1,89,359415,359415,0
1,91,1,91,23953,23953,0
1,93,1,93,30460,30460,0
1,95,1,95,96406,96406,0
1,97,1,97,440968,440968,0
1,99,1,99,25151,25151,0
1,101,1,101,247977,247977,0
1,103,1,103,130972,130972,0
1,105,1,105,11732,11732,0
1,107,1,107,22558,22558,0
1,109,1,109,28714,28714,0
1,111,1,111,23576,23576,0
1,113,1,113,52154,52154,0
1,115,1,115,82143,82143,0
1,117,1,117,198940,198940,0
1,119,1,119,14269,14269,0
1,121,1,121,85735,85735,0
1,123,1,123,44774,44774,0
1,125,1,125,185417,185417,0
1,127,1,127,69970,69970,0
1,129,1,129,18520,18520,0
1,131,1,131,13904,13904,0
1,133,1,133,25318,25318,0
2,13,2,13,1713,1713,0
2,16,2,16,4277,4277,0
2,20,2,20,303939,303939,0
2,50,2,50,17016,17016,0
2,60,2,60,-2,-2,0
2,68,2,68,2260,2260,0
2,70,2,70,4785,4785,0
2,90,2,90,100257,100257,0
2,100,2,100,2648,2648,0
2,105,2,105,2138,2138,0
2,110,2,110,33469,33469,0
2,122,2,122,57686,57686,0
2,130,2,130,14787,14787,0
2,150,2,150,14967,14967,0
2,164,2,164,1512,1512,0
2,170,2,170,83856,83856,0
2,180,2,180,8847,8847,0
2,185,2,185,6610,6610,0
2,188,2,188,6682,6682,0
